# Time 	 Euler Position 	 Leap Position  	 RK4 Position 
0.000000000000e+00 	 0.000000000000e+00 	  0.000000000000e+00 	  0.000000000000e+00 
2.999999932945e-02 	 2.999999932945e-02 	  2.999999932945e-02 	  2.999549917877e-02 
5.999999865890e-02 	 5.999999865890e-02 	  5.997299775481e-02 	  5.996400490403e-02 
8.999999612570e-02 	 8.997300267220e-02 	  8.989201486111e-02 	  8.987854421139e-02 
1.199999973178e-01 	 1.198920011520e-01 	  1.197301298380e-01 	  1.197122037411e-01 
1.499999910593e-01 	 1.497300267220e-01 	  1.494604945183e-01 	  1.494381278753e-01 
1.799999922514e-01 	 1.794601529837e-01 	  1.790563464165e-01 	  1.790295690298e-01 
2.099999934435e-01 	 2.090555131435e-01 	  2.084910422564e-01 	  2.084598988295e-01 
2.399999946356e-01 	 2.384893596172e-01 	  2.377381026745e-01 	  2.377026230097e-01 
2.699999809265e-01 	 2.677350640297e-01 	  2.667711973190e-01 	  2.667314410210e-01 
2.999999821186e-01 	 2.967661321163e-01 	  2.955642044544e-01 	  2.955202162266e-01 
3.299999833107e-01 	 3.255562186241e-01 	  3.240911960602e-01 	  3.240430355072e-01 
3.599999845028e-01 	 3.540792167187e-01 	  3.523265123367e-01 	  3.522742390633e-01 
3.899999856949e-01 	 3.823092281818e-01 	  3.802447319031e-01 	  3.801884055138e-01 
4.199999868870e-01 	 4.102205634117e-01 	  4.078207314014e-01 	  4.077604413033e-01 
4.499999880791e-01 	 4.377878308296e-01 	  4.350296854973e-01 	  4.349655210972e-01 
4.799999892712e-01 	 4.649858772755e-01 	  4.618471264839e-01 	  4.617791473866e-01 
5.099999904633e-01 	 4.917899370193e-01 	  4.882488846779e-01 	  4.881772100925e-01 
5.399999618530e-01 	 5.181754827499e-01 	  5.142112374306e-01 	  5.141359567642e-01 
5.699999928474e-01 	 5.441184043884e-01 	  5.397107601166e-01 	  5.396320223808e-01 
5.999999642372e-01 	 5.695949792862e-01 	  5.647245645523e-01 	  5.646424293518e-01 
6.299999952316e-01 	 5.945818424225e-01 	  5.892301201820e-01 	  5.891447067261e-01 
6.599999666214e-01 	 6.190561056137e-01 	  6.132053732872e-01 	  6.131168007851e-01 
6.899999976158e-01 	 6.429952383041e-01 	  6.366287469864e-01 	  6.365371346474e-01 
7.199999690056e-01 	 6.663771867752e-01 	  6.594791412354e-01 	  6.593846082687e-01 
7.500000000000e-01 	 6.891804933548e-01 	  6.817359924316e-01 	  6.816387176514e-01 
7.799999713898e-01 	 7.113840579987e-01 	  7.033792734146e-01 	  7.032793760300e-01 
8.100000023842e-01 	 7.329673171043e-01 	  7.243895530701e-01 	  7.242871522903e-01 
8.399999737740e-01 	 7.539103627205e-01 	  7.447478771210e-01 	  7.446430921555e-01 
8.700000047684e-01 	 7.741937041283e-01 	  7.644359469414e-01 	  7.643288969994e-01 
8.999999761581e-01 	 7.937985658646e-01 	  7.834360003471e-01 	  7.833268642426e-01 
9.300000071526e-01 	 8.127066493034e-01 	  8.017309308052e-01 	  8.016198873520e-01 
9.599999785423e-01 	 8.309003114700e-01 	  8.193043470383e-01 	  8.191915154457e-01 
9.899999499321e-01 	 8.483625054359e-01 	  8.361403942108e-01 	  8.360258936882e-01 
1.019999980927e+00 	 8.650768995285e-01 	  8.522238731384e-01 	  8.521079421043e-01 
1.049999952316e+00 	 8.810277581215e-01 	  8.675403594971e-01 	  8.674231171608e-01 
1.079999923706e+00 	 8.962000608444e-01 	  8.820760846138e-01 	  8.819577097893e-01 
1.110000014305e+00 	 9.105794429779e-01 	  8.958179354668e-01 	  8.956986069679e-01 
1.139999985695e+00 	 9.241522550583e-01 	  9.087535142899e-01 	  9.086334109306e-01 
1.169999957085e+00 	 9.369055628777e-01 	  9.208712577820e-01 	  9.207504987717e-01 
1.199999928474e+00 	 9.488270878792e-01 	  9.321601986885e-01 	  9.320389628410e-01 
1.230000019073e+00 	 9.599054455757e-01 	  9.426102042198e-01 	  9.424886703491e-01 
1.259999990463e+00 	 9.701298475266e-01 	  9.522118568420e-01 	  9.520902037621e-01 
1.289999961853e+00 	 9.794903397560e-01 	  9.609565138817e-01 	  9.608349204063e-01 
1.319999933243e+00 	 9.879776835442e-01 	  9.688363075256e-01 	  9.687149524689e-01 
1.350000023842e+00 	 9.955834746361e-01 	  9.758441448212e-01 	  9.757232069969e-01 
1.379999995232e+00 	 1.002300143242e+00 	  9.819737076759e-01 	  9.818533658981e-01 
1.409999966621e+00 	 1.008120775223e+00 	  9.872195124626e-01 	  9.870999455452e-01 
1.439999938011e+00 	 1.013039350510e+00 	  9.915768504143e-01 	  9.914581775665e-01 
1.469999909401e+00 	 1.017050623894e+00 	  9.950417280197e-01 	  9.949241876602e-01 
1.500000000000e+00 	 1.020150065422e+00 	  9.976111054420e-01 	  9.974948167801e-01 
1.529999971390e+00 	 1.022334218025e+00 	  9.992825984955e-01 	  9.991677999496e-01 
