# Time 	 x_position	  y_position	 x_velocit	 y_velocity
0.000000000000e+00 	 1.000000000000e+00 	  0.000000000000e+00 	  0.000000000000e+00 	  1.000000014901e-01  
2.500000000000e-01 	 9.791441559792e-01 	  2.482519112527e-02 	  -1.670248657465e-01 	 9.789519011974e-02 
5.000000000000e-01 	 9.163138270378e-01 	  4.857599362731e-02 	  -3.361116945744e-01 	 9.131465852261e-02 
7.500000000000e-01 	 8.107905387878e-01 	  7.003933936357e-02 	  -5.086911320686e-01 	 7.939328998327e-02 
1.000000000000e+00 	 6.617251038551e-01 	  8.769246935844e-02 	  -6.839261054993e-01 	 6.048478931189e-02 
1.250000000000e+00 	 4.692089259624e-01 	  9.948839247227e-02 	  -8.538280725479e-01 	 3.208143636584e-02 
1.500000000000e+00 	 2.373905181885e-01 	  1.027459651232e-01 	  -9.914314746857e-01 	 -7.870331406593e-03 
1.750000000000e+00 	 -1.922491006553e-02 	  9.488741308451e-02 	  -1.042633414268e+00 	 -5.519460514188e-02 
2.000000000000e+00 	 -2.736204564571e-01 	  7.574541866779e-02 	  -9.746046662331e-01 	 -9.563944488764e-02 
2.250000000000e+00 	 -4.999483227730e-01 	  4.848755896091e-02 	  -8.279913067818e-01 	 -1.196962520480e-01 
2.500000000000e+00 	 -6.855147480965e-01 	  1.709130220115e-02 	  -6.547912359238e-01 	 -1.295338571072e-01 
2.750000000000e+00 	 -8.271624445915e-01 	  -1.549033634365e-02 	  -4.787317812443e-01 	 -1.298463791609e-01 
3.000000000000e+00 	 -9.252018928528e-01 	  -4.730031266809e-02 	  -3.063001334667e-01 	 -1.237311437726e-01 
3.250000000000e+00 	 -9.806435108185e-01 	  -7.695474475622e-02 	  -1.377739608288e-01 	 -1.127733662724e-01 
3.500000000000e+00 	 -9.942804574966e-01 	  -1.033375337720e-01 	  2.846855856478e-02 	 -9.760442376137e-02 
3.750000000000e+00 	 -9.664244651794e-01 	  -1.254068017006e-01 	  1.945235729218e-01 	 -7.821965962648e-02 
4.000000000000e+00 	 -8.968663811684e-01 	  -1.420530974865e-01 	  3.623781204224e-01 	 -5.408938601613e-02 
4.250000000000e+00 	 -7.849784493446e-01 	  -1.519683152437e-01 	  5.332223176956e-01 	 -2.414697967470e-02 
4.500000000000e+00 	 -6.301034688950e-01 	  -1.535078883171e-01 	  7.055889964104e-01 	 1.321368012577e-02 
4.750000000000e+00 	 -4.327864646912e-01 	  -1.445980966091e-01 	  8.698977828026e-01 	 5.961078777909e-02 
5.000000000000e+00 	 -1.982244700193e-01 	  -1.230163946748e-01 	  9.960892200470e-01 	 1.137613952160e-01 
5.250000000000e+00 	 5.738254636526e-02 	  -8.794646710157e-02 	  1.029362797737e+00 	 1.647315919399e-01 
5.500000000000e+00 	 3.063915669918e-01 	  -4.241784662008e-02 	  9.460757374763e-01 	 1.953319609165e-01 
5.750000000000e+00 	 5.246135592461e-01 	  7.693474646658e-03 	  7.929555773735e-01 	 2.022017091513e-01 
6.000000000000e+00 	 7.012220025063e-01 	  5.736499279737e-02 	  6.187418699265e-01 	 1.931923627853e-01 
6.250000000000e+00 	 8.339810371399e-01 	  1.035330817103e-01 	  4.438863992691e-01 	 1.749839484692e-01 
6.500000000000e+00 	 9.235517978668e-01 	  1.443816274405e-01 	  2.734769582748e-01 	 1.510053724051e-01 
6.750000000000e+00 	 9.710768461227e-01 	  1.786776930094e-01 	  1.073016449809e-01 	 1.226973533630e-01 
7.000000000000e+00 	 9.774092435837e-01 	  2.054021507502e-01 	  -5.640444904566e-02 	 9.043344110250e-02 
7.250000000000e+00 	 9.429055452347e-01 	  2.235427051783e-01 	  -2.197317332029e-01 	 5.393602699041e-02 
7.500000000000e+00 	 8.674161434174e-01 	  2.319532930851e-01 	  -3.845526278019e-01 	 1.242502685636e-02 
7.750000000000e+00 	 7.504205107689e-01 	  2.292354255915e-01 	  -5.517699122429e-01 	 -3.532610833645e-02 
8.000000000000e+00 	 5.914834737778e-01 	  2.136460542679e-01 	  -7.192241549492e-01 	 -9.076148271561e-02 
8.250000000000e+00 	 3.916502296925e-01 	  1.831621974707e-01 	  -8.756871223450e-01 	 -1.542652696371e-01 
8.500000000000e+00 	 1.571998298168e-01 	  1.362318247557e-01 	  -9.882861971855e-01 	 -2.205046266317e-01 
8.750000000000e+00 	 -9.416262805462e-02 	  7.415484637022e-02 	  -1.003105282784e+00 	 -2.717007696629e-01 
9.000000000000e+00 	 -3.347564935684e-01 	  3.245781175792e-03 	  -9.065845012665e-01 	 -2.898340225220e-01 
9.250000000000e+00 	 -5.424607992172e-01 	  -6.828233599663e-02 	  -7.495586872101e-01 	 -2.786316573620e-01 
9.500000000000e+00 	 -7.083113193512e-01 	  -1.347007453442e-01 	  -5.765960216522e-01 	 -2.507831454277e-01 
9.750000000000e+00 	 -8.309104442596e-01 	  -1.929724514484e-01 	  -4.049332737923e-01 	 -2.143496572971e-01 
1.000000000000e+01 	 -9.112173318863e-01 	  -2.414617091417e-01 	  -2.383814305067e-01 	 -1.728723347187e-01 
1.025000000000e+01 	 -9.504783749580e-01 	  -2.790936529636e-01 	  -7.631319016218e-02 	 -1.275807321072e-01 
1.050000000000e+01 	 -9.495931267738e-01 	  -3.049440383911e-01 	  8.313058316708e-02 	 -7.857465744019e-02 
1.075000000000e+01 	 -9.089604616165e-01 	  -3.180268406868e-01 	  2.419949620962e-01 	 -2.530711144209e-02 
1.100000000000e+01 	 -8.284974694252e-01 	  -3.171587884426e-01 	  4.019991457462e-01 	 3.323316201568e-02 
1.125000000000e+01 	 -7.078080177307e-01 	  -3.008586466312e-01 	  5.637150406837e-01 	 9.838078916073e-02 
1.150000000000e+01 	 -5.467082262039e-01 	  -2.673150002956e-01 	  7.242398262024e-01 	 1.712735444307e-01 
1.175000000000e+01 	 -3.467831611633e-01 	  -2.146483212709e-01 	  8.706873655319e-01 	 2.506722211838e-01 
1.200000000000e+01 	 -1.153956875205e-01 	  -1.422127485275e-01 	  9.678218364716e-01 	 3.264952003956e-01 
1.225000000000e+01 	 1.285155713558e-01 	  -5.375476554036e-02 	  9.643211960793e-01 	 3.744292557240e-01 
1.250000000000e+01 	 3.578432500362e-01 	  4.115861654282e-02 	  8.570131063461e-01 	 3.778965473175e-01 
1.275000000000e+01 	 5.528490543365e-01 	  1.324083805084e-01 	  6.987317204475e-01 	 3.481439650059e-01 
1.300000000000e+01 	 7.063687443733e-01 	  2.138714492321e-01 	  5.292337536812e-01 	 3.017413318157e-01 
1.325000000000e+01 	 8.177489042282e-01 	  2.826500833035e-01 	  3.626902997494e-01 	 2.475905418396e-01 
1.350000000000e+01 	 8.881938457489e-01 	  3.373174071312e-01 	  2.017735838890e-01 	 1.891637593508e-01 
1.375000000000e+01 	 9.190268516541e-01 	  3.769592046738e-01 	  4.551734402776e-02 	 1.274287551641e-01 
1.400000000000e+01 	 9.111823439598e-01 	  4.007423520088e-01 	  -1.079831570387e-01 	 6.220353767276e-02 
1.425000000000e+01 	 8.651003241539e-01 	  4.077036678791e-01 	  -2.606891393661e-01 	 -7.319148164243e-03 
1.450000000000e+01 	 7.807728648186e-01 	  3.966233432293e-01 	  -4.141297340393e-01 	 -8.235622942448e-02 
1.475000000000e+01 	 6.579459905624e-01 	  3.659484386444e-01 	  -5.685071349144e-01 	 -1.642877161503e-01 
1.500000000000e+01 	 4.967143237591e-01 	  3.138366937637e-01 	  -7.201395630836e-01 	 -2.537771165371e-01 
1.525000000000e+01 	 2.992326915264e-01 	  2.386606484652e-01 	  -8.545318841934e-01 	 -3.475308120251e-01 
1.550000000000e+01 	 7.391025125980e-02 	  1.409357190132e-01 	  -9.347195029259e-01 	 -4.300787448883e-01 
1.575000000000e+01 	 -1.594337224960e-01 	  2.714039757848e-02 	  -9.137102365494e-01 	 -4.713310003281e-01 
1.600000000000e+01 	 -3.748697638512e-01 	  -9.006299078465e-02 	  -7.983837723732e-01 	 -4.584177434444e-01 
1.625000000000e+01 	 -5.552535057068e-01 	  -1.991165280342e-01 	  -6.414833068848e-01 	 -4.100308120251e-01 
1.650000000000e+01 	 -6.951117515564e-01 	  -2.937795817852e-01 	  -4.775818586349e-01 	 -3.456199765205e-01 
1.675000000000e+01 	 -7.944351434708e-01 	  -3.713825047016e-01 	  -3.180013000965e-01 	 -2.744599580765e-01 
1.700000000000e+01 	 -8.546213507652e-01 	  -4.307259321213e-01 	  -1.644218564034e-01 	 -1.998091489077e-01 
1.725000000000e+01 	 -8.770458102226e-01 	  -4.710549116135e-01 	  -1.561483275145e-02 	 -1.223377138376e-01 
1.750000000000e+01 	 -8.626677989960e-01 	  -4.916223585606e-01 	  1.303226500750e-01 	 -4.158117622137e-02 
1.775000000000e+01 	 -8.119688630104e-01 	  -4.914846420288e-01 	  2.752308845520e-01 	 4.351343214512e-02 
1.800000000000e+01 	 -7.250251770020e-01 	  -4.693877696991e-01 	  4.204150140285e-01 	 1.343368142843e-01 
1.825000000000e+01 	 -6.017424464226e-01 	  -4.237217009068e-01 	  5.656750798225e-01 	 2.322403788567e-01 
1.850000000000e+01 	 -4.425181448460e-01 	  -3.526588678360e-01 	  7.065352201462e-01 	 3.372209370136e-01 
1.875000000000e+01 	 -2.500932812691e-01 	  -2.549487054348e-01 	  8.270131945610e-01 	 4.434643983841e-01 
1.900000000000e+01 	 -3.383893147111e-02 	  -1.325360983610e-01 	  8.892405033112e-01 	 5.295860171318e-01 
1.925000000000e+01 	 1.859728395939e-01 	  5.149244330823e-03 	  8.521927595139e-01 	 5.609443187714e-01 
1.950000000000e+01 	 3.851589560509e-01 	  1.426282525063e-01 	  7.318339347839e-01 	 5.304570198059e-01 
1.975000000000e+01 	 5.492751002312e-01 	  2.673827707767e-01 	  5.788819193840e-01 	 4.637243449688e-01 
2.000000000000e+01 	 6.743947863579e-01 	  3.732911646366e-01 	  4.225998222828e-01 	 3.820931017399e-01 
2.025000000000e+01 	 7.610504627228e-01 	  4.579783380032e-01 	  2.717237174511e-01 	 2.948190867901e-01 
2.050000000000e+01 	 8.107838630676e-01 	  5.204821825027e-01 	  1.270917654037e-01 	 2.048357427120e-01 
2.075000000000e+01 	 8.250000476837e-01 	  5.602024197578e-01 	  -1.271212007850e-02 	 1.124934256077e-01 
2.100000000000e+01 	 8.046751022339e-01 	  5.764718055725e-01 	  -1.495434939861e-01 	 1.705130189657e-02 
2.125000000000e+01 	 7.503339052200e-01 	  5.683636069298e-01 	  -2.850870192051e-01 	 -8.276954293251e-02 
2.150000000000e+01 	 6.621466279030e-01 	  5.345938205719e-01 	  -4.203933477402e-01 	 -1.884952634573e-01 
2.175000000000e+01 	 5.401954650879e-01 	  4.735139906406e-01 	  -5.548365712166e-01 	 -3.013629317284e-01 
2.200000000000e+01 	 3.852004408836e-01 	  3.833651542664e-01 	  -6.831576824188e-01 	 -4.204857647419e-01 
2.225000000000e+01 	 2.004878818989e-01 	  2.634142935276e-01 	  -7.880973219872e-01 	 -5.370386838913e-01 
2.250000000000e+01 	 -3.747399663553e-03 	  1.173079833388e-01 	  -8.318911194801e-01 	 -6.233718991280e-01 
2.275000000000e+01 	 -2.072714716196e-01 	  -4.244040697813e-02 	  -7.808846831322e-01 	 -6.419650316238e-01 
2.300000000000e+01 	 -3.881514072418e-01 	  -1.979237645864e-01 	  -6.585913300514e-01 	 -5.932449102402e-01 
2.325000000000e+01 	 -5.346481800079e-01 	  -3.361310064793e-01 	  -5.120381712914e-01 	 -5.088000893593e-01 
2.350000000000e+01 	 -6.442130804062e-01 	  -4.512532055378e-01 	  -3.652653992176e-01 	 -4.109571874142e-01 
2.375000000000e+01 	 -7.178193926811e-01 	  -5.412558317184e-01 	  -2.247160971165e-01 	 -3.086369037628e-01 
2.400000000000e+01 	 -7.571069598198e-01 	  -6.054162383080e-01 	  -9.053485095501e-02 	 -2.043671905994e-01 
2.425000000000e+01 	 -7.634906172752e-01 	  -6.432812809944e-01 	  3.880994766951e-02 	 -9.816854447126e-02 
2.450000000000e+01 	 -7.379572391510e-01 	  -6.542570590973e-01 	  1.650837212801e-01 	 1.096375379711e-02 
2.475000000000e+01 	 -6.810780167580e-01 	  -6.374316811562e-01 	  2.897835373878e-01 	 1.245097965002e-01 
2.500000000000e+01 	 -5.931273102760e-01 	  -5.914975404739e-01 	  4.136796593666e-01 	 2.440863996744e-01 
2.525000000000e+01 	 -4.743792712688e-01 	  -5.147908926010e-01 	  5.357072949409e-01 	 3.707186579704e-01 
2.550000000000e+01 	 -3.258899748325e-01 	  -4.056839048862e-01 	  6.498684287071e-01 	 5.023955106735e-01 
2.575000000000e+01 	 -1.515482068062e-01 	  -2.641165554523e-01 	  7.379389405251e-01 	 6.267821788788e-01 
2.600000000000e+01 	 3.782494366169e-02 	  -9.570149332285e-02 	  7.634243965149e-01 	 7.098562121391e-01 
2.625000000000e+01 	 2.225696295500e-01 	  8.393654227257e-02 	  7.010681629181e-01 	 7.132732272148e-01 
2.650000000000e+01 	 3.834168314934e-01 	  2.549430131912e-01 	  5.799490213394e-01 	 6.461892724037e-01 
2.675000000000e+01 	 5.112468004227e-01 	  4.042493104935e-01 	  4.420870244503e-01 	 5.449785590172e-01 
2.700000000000e+01 	 6.047047376633e-01 	  5.265101790428e-01 	  3.065603673458e-01 	 4.321315586567e-01 
2.725000000000e+01 	 6.651083230972e-01 	  6.200594305992e-01 	  1.778257191181e-01 	 3.159894347191e-01 
2.750000000000e+01 	 6.941534876823e-01 	  6.844094395638e-01 	  5.547740682960e-02 	 1.986215561628e-01 
2.775000000000e+01 	 6.932479143143e-01 	  7.192447185516e-01 	  -6.206398829818e-02 	 7.971941679716e-02 
2.800000000000e+01 	 6.633849143982e-01 	  7.240378856659e-01 	  -1.764341741800e-01 	 -4.196746274829e-02 
